id;mossa;tipo;categoria;potenza;precisione;descrizione
67;psichico;psico;speciale;90;100;Il nemico viene colpito da una potente forza telecinetica che può anche ridurne la Difesa Speciale.
68;attacco rapido;normale;fisico;40;100;Chi la usa colpisce sempre per primo e ad una tale velocità da rendersi quasi invisibile. Questa mossa ha priorità alta.
69;ira;normale;fisico;20;100;Questa mossa ha il potere di aumentare la statistica Attacco ogni volta che chi la usa viene colpito durante una lotta.
70;autodistruzione;normale;fisico;200;100;Chi la usa esplode e infligge danni agli altri Pokémon in campo, ma poi va KO.
71;uovobomba;normale;fisico;100;75;Colpisce il nemico con un grande uovo scaraventato con enorme forza.
72;leccata;spettro;fisico;30;100;Una lingua lunga infligge danni al nemico e può anche paralizzarlo.
73;smog;veleno;speciale;30;70;Colpisce il nemico con una scarica di gas maleodoranti. Può anche avvelenarlo.
74;fango;veleno;speciale;65;100;Lancio di fango malsano che arreca danno al nemico. Può anche avvelenarlo.
75;ossoclava;terra;fisico;65;85;Il Pokémon colpisce il nemico con un bastone d'osso. Può anche fare tentennare l'obiettivo.
76;fuocobomba;fuoco;speciale;110;85;Investe il nemico con un'intensa fiammata che fa terra bruciata. Può anche scottarlo.
77;cascata;acqua;fisico;80;100;Carica il nemico a grande velocità e può farlo tentennare. Fuori dalla lotta fa risalire le cascate.
78;tenaglia;acqua;fisico;35;85;Chi la usa intrappola e stritola il nemico con la sua corazza spessa e forte per quattro o cinque turni.
79;comete;normale;speciale;60;100;Colpisce i nemici con raggi a forma di stella. Questo attacco è infallibile.
80;capocciata;normale;fisico;130;100;Chi la usa ritira la testa per aumentare la Difesa e poi attacca al turno successivo.
81;sparalance;normale;fisico;20;100;Il nemico viene colpito da due a cinque volte in rapida successione da spilli appuntiti.
82;limitazione;normale;fisico;10;100;Colpisce il nemico con lunghi tentacoli o piante rampicanti. Può anche ridurne la Velocità.
83;calcinvolo;lotta;fisico;130;90;Chi la usa colpisce il nemico con una ginocchiata in volo: se fallisce, subisce danni.
84;mangiasogni;psico;speciale;100;100;Attacco che funziona solo su un nemico che dorme. Chi lo usa riceve metà dei PS persi dal nemico.
85;attacco pioggia;normale;fisico;15;85;Piovono enormi sfere sulla testa del nemico da due a cinque volte di fila.
86;sanguisuga;coleottero;fisico;80;100;Mossa succhiasangue. Chi la usa recupera una quantità di PS pari alla metà del danno inferto.
87;aeroattacco;volante;fisico;140;90;Un attacco in due turni e probabile brutto colpo. Può anche far tentennare il nemico.
88;bolla;acqua;speciale;40;100;Uno spruzzo di bolle viene lanciato sul nemico. Può ridurne la velocità.
89;stordipugno;normale;fisico;70;100;Colpisce il bersaglio con una sequenza di pugni che può anche confonderlo.
90;martellata;acqua;fisico;100;90;Colpisce il nemico con una grande tenaglia. Probabile brutto colpo.
91;esplosione;normale;fisico;250;100;Chi la usa esplode per infliggere danni agli altri Pokémon attorno, ma va KO.
92;sfuriate;normale;fisico;18;80;Colpisce il nemico con artigli o falci affilate da due a cinque volte in rapida successione.
93;ossomerang;terra;fisico;50;90;Chi la usa lancia l'osso che tiene. L'osso colpisce due volte e ritorna come un vero e proprio boomerang.
94;frana;roccia;fisico;75;90;I nemici vengono colpiti da grandi massi che possono anche farli tentennare.
95;iperzanna;normale;fisico;80;90;Il Pokémon morde il nemico con zanne taglienti. Può anche farlo tentennare.
96;tripletta;normale;speciale;80;100;Colpisce il nemico con tre sfere simultanee che possono anche paralizzarlo, scottarlo o congelarlo.
97;lacerazione;normale;fisico;70;100;Attacca il nemico con artigli, falci o altro. Probabile brutto colpo.
98;scontro;normale;fisico;50;100;Mossa da usare solo in caso estremo, quando non si hanno più PP. Danneggia anche chi la usa.
99;triplocalcio;lotta;fisico;10;90;Chi la usa esegue fino a tre calci consecutivi la cui potenza aumenta ad ogni colpo.
100;furto;buio;fisico;60;100;Il Pokémon attacca e contemporaneamente ruba lo strumento tenuto dal nemico. Non ruberà nulla, se si possiede già uno strumento.
101;ruotafuoco;fuoco;fisico;60;100;Il Pokémon si avvolge nel fuoco e carica il nemico. Può scottare.
102;russare;normale;speciale;50;100;Mossa da usare solo mentre si dorme. Il chiasso assordante può anche far tentennare il nemico.
103;aerocolpo;volante;speciale;100;95;Colpisce il nemico con un vortice d'aria per danneggiarlo. Probabile brutto colpo.
104;polneve;ghiaccio;speciale;40;100;Attacca il nemico con una raffica di neve farinosa e può anche congelarlo.
105;pugnorapido;lotta;fisico;40;100;Chi la usa tira un pugno a velocità impressionante e colpisce di sicuro per primo.
106;finta;buio;fisico;60;100;Chi la usa si avvicina al nemico facendo finta di niente, per poi scagliare un pugno infallibile a tradimento.
107;fangobomba;veleno;speciale;90;100;Chi la usa attacca lanciando fango sul bersaglio. Può anche avvelenarlo.
108;fangosberla;terra;speciale;20;100;Chi la usa butta fango in faccia al nemico per arrecargli danni e ridurne la precisione.
109;octazooka;acqua;speciale;65;85;Chi la usa spruzza del'inchiostro in faccia al nemico. Può anche ridurne la precisione.
110;falcecannone;elettro;speciale;120;50;Chi la usa provoca un'esplosione elettrica che infligge danni e paralizza il nemico.
111;ventogelato;ghiaccio;speciale;55;95;Chi la usa attacca i nemici con una folata di aria gelida e ne riduce anche la Velocità.
112;ossoraffica;terra;fisico;25;90;Chi la usa colpisce il nemico con un osso duro, da 2 a 5 volte di fila.
113;oltraggio;drago;fisico;120;100;Chi la usa sfoga la sua ira e attacca il nemico per due o tre turni prima di essere lasciato in preda alla confusione.
114;gigassorbimento;erba;speciale;75;100;Mossa che assorbe PS. Chi la usa recupera un quantità di PS pari alla metà del danno inferto.
115;rotolamento;roccia;fisico;30;90;Chi la usa colpisce il nemico rotolando per cinque turni, con aumento progressivo della potenza ogni volta che va a segno.
116;falsofinale;normale;fisico;40;100;Chi la usa trattiene il colpo per impedire al nemico di andare KO, lasciandolo con almeno un PS.
117;scintilla;elettro;fisico;65;100;Colpisce il nemico con una carica elettrica e può anche paralizzarlo.
118;tagliofuria;coleottero;fisico;40;95;Colpisce il nemico con falci o artigli. Se usata in successione aumenta di potenza ogni volta che va a segno.
119;alacciaio;acciaio;fisico;70;90;Colpisce il nemico con ali d'acciaio. Può anche aumentare la Difesa di chi la usa.
120;magifuoco;fuoco;fisico;100;95;Colpisce il nemico con un fuoco mistico di enorme intensità che può anche causargli una scottatura.
121;dinamipugno;lotta;fisico;100;50;Colpisce il nemico con un pugno davvero forte. Se va a segno, lo confonde.
122;megacorno;coleottero;fisico;120;85;Chi la usa utilizza il suo corno per montare con grande forza il nemico.
123;dragospiro;drago;speciale;60;100;Investe il nemico con una raffica potentissima che arreca danni. Può anche paralizzarlo.
124;inseguimento;buio;fisico;40;100;Una mossa d'attacco che infligge un danno doppio se il nemico è in fase di sostituzione.
125;rapigiro;normale;fisico;50;100;Un attacco roteante che elimina gli effetti delle mosse Legatutto, Avvolgibotta, Parassiseme e Punte.
126;codacciaio;acciaio;fisico;100;75;Il nemico viene colpito da una robusta coda d'acciaio. Può anche ridurne la Difesa.
127;ferrartigli;acciaio;fisico;50;95;Colpisce il nemico con artigli d'acciaio. Può anche aumentare l'Attacco di chi la usa.
128;vitaltiro;lotta;fisico;70;100;Chi la usa attacca per ultimo, ma il colpo è sempre infallibile.
129;introforza;normale;speciale;60;100;Mossa singolare che cambia tipo e potenza a seconda del Pokémon che la usa.
130;incrocolpo;lotta;fisico;100;80;Investe il nemico con un colpo sferrato con entrambe le braccia incrociate. Probabile brutto colpo.
131;tornado;drago;speciale;40;100;Un potente tornado si abbatte sul nemico. Può anche far tentennare.
132;sgranocchio;buio;fisico;80;100;Il nemico viene morso con denti affilati. Può anche ridurne la Difesa.
133;extrarapido;normale;fisico;80;100;Chi la usa carica il nemico a velocità impressionante ed attacca sempre per primo.
134;forzantica;roccia;speciale;60;100;Colpisce il nemico con una forza primordiale. Può aumentare tutte le statistiche.
135;palla ombra;spettro;speciale;80;100;Lancia sul nemico una sfera nera. Può anche ridurne la Difesa Speciale.
136;divinazione;psico;speciale;120;100;Due turni dopo l'utilizzo di questa mossa, il nemico viene attaccato con energia psichica.
137;spaccaroccia;lotta;fisico;40;100;Il nemico viene colpito da un pugno in grado di frantumare anche la roccia. Può anche ridurne la Difesa.
138;mulinello;acqua;speciale;35;85;Intrappola il nemico in un turbine d'acqua che dura per quattro o cinque turni infliggendogli dei danni ogni turno.
139;bruciapelo;normale;fisico;40;100;Mossa che fa agire per primo e fa tentennare il nemico. Funziona solo appena sceso in campo.
140;baraonda;normale;speciale;90;100;Chi la usa attacca per tre turni con un frastuono che non fa dormire nessuno.
141;ondacalda;fuoco;speciale;95;90;Chi la usa investe i nemici con una folata di vento caldo. Può anche scottare.
142;facciata;normale;fisico;70;100;Mossa d'attacco che raddoppia la potenza se chi la usa è scottato, avvelenato o paralizzato.
143;centripugno;lotta;fisico;150;100;Chi la usa prende la mira prima di sferrare un pugno. Fallirà se verrà colpito prima di eseguire la mossa.
144;maniereforti;normale;fisico;70;100;Infligge un danno doppio ad un bersaglio paralizzato, ma ne cura anche la paralisi.
145;troppoforte;lotta;fisico;120;100;Chi la usa attacca il nemico con grande forza, ma il suo Attacco e la sua Difesa diminuiscono.
146;vendetta;lotta;fisico;60;100;Mossa d'attacco che infligge un danno doppio se si è stati colpiti dal nemico nello stesso turno.
147;breccia;lotta;fisico;75;100;Colpisce il nemico con una mano e rompe barriere come Riflesso e Schermoluce.
148;privazione;buio;fisico;65;100;Attacco che blocca anche lo strumento tenuto dal nemico, impedendone l'uso nella lotta. La sua potenza aumenta se il Pokémon colpito ha uno strumento.
149;forzasegreta;normale;fisico;70;100;Attacco che può avere un effetto aggiuntivo a seconda del luogo in cui si trova chi lo usa.
150;sub;acqua;fisico;80;100;Chi la usa si tuffa in acqua per emergere e attaccare al turno seguente. Fuori dalla lotta permette di immergersi sott'acqua.
151;sberletese;lotta;fisico;15;100;Raffica di ceffoni che colpisce da due a cinque volte di fila.
152;abbagliante;psico;speciale;70;100;Chi la usa scatena un'esplosione abbagliante che può anche ridurre la Difesa Speciale del Pokémon colpito.
153;foschisfera;psico;speciale;70;100;Una sfera coperta di nebbia danneggia il nemico. Può anche ridurre l'Attacco Speciale.
154;calciardente;fuoco;fisico;85;90;Chi la usa tira un calcio. Probabile brutto colpo. Può anche causare una scottatura.
155;palla gelo;ghiaccio;fisico;30;90;Chi la usa attacca il nemico rotolando per cinque turni, con aumento progressivo della potenza ogni volta che va a segno.
156;pugnospine;erba;fisico;60;100;Chi la usa attacca colpendo il bersaglio con i suoi arti pieni di spine. Può far tentennare il Pokémon colpito.
157;granvoce;normale;speciale;90;100;Chi la usa lancia un urlo straziante che danneggia i nemici.
158;velenodenti;veleno;fisico;50;100;Chi la usa morde il nemico con denti avvelenati che possono anche iperavvelenarlo.
159;tritartigli;normale;fisico;75;95;Colpisce il nemico con artigli robusti e affilati che possono ridurne la Difesa.
160;incendio;fuoco;speciale;150;90;Potente esplosione che danneggia il nemico, ma fa saltare il turno successivo a chi la provoca.
161;idrocannone;acqua;speciale;150;90;Colpisce il nemico con un potente getto d'acqua. Chi la usa salta il turno successivo.
162;meteorpugno;acciaio;fisico;90;90;Colpisce il nemico con un pugno veloce come una meteora. Può far pure salire l'Attacco di chi la usa.
163;sgomento;spettro;fisico;30;100;Chi la usa attacca il bersaglio emettendo un verso terrificante. Può anche farlo tentennare.
164;palla clima;normale;speciale;50;100;Mossa d'attacco che varia tipo e forza in base alle condizioni atmosferiche.
165;aerasoio;volante;speciale;60;95;Chi la usa provoca un vento tagliente che sferza i nemici. Probabile brutto colpo.
166;vampata;fuoco;speciale;130;90;Chi la usa sferra un potente attacco, ma il contraccolpo riduce di molto il suo Attacco Speciale.
167;rocciotomba;roccia;fisico;60;95;Colpisce il nemico con rocce. Inoltre, lo rallenta riducendone la Velocità.
168;ventargenteo;coleottero;speciale;60;100;Attacca con un forte vento di polvere di squame. Tutte le statistiche di chi la usa possono salire.
169;segnoraggio;coleottero;speciale;75;100;Chi la usa attacca con uno strano raggio di luce che può anche confondere il Pokémon colpito.
170;pugnodombra;spettro;fisico;60;100;Il nemico riceve un pugno proveniente dalle tenebre. Questa mossa è infallibile.
171;extrasenso;psico;speciale;80;100;Chi la usa attacca con una misteriosa forza invisibile. Può far tentennare il nemico.
172;stramontante;lotta;fisico;85;90;Chi la usa attacca il nemico con un montante che può arrivare fino in cielo.
173;sabbiotomba;terra;fisico;35;85;Chi la usa intrappola il nemico in un turbine di sabbia per quattro o cinque turni.
174;fanghiglia;acqua;speciale;90;85;Chi la usa attacca con un getto di fango che può anche ridurre la precisione dei nemici.
175;semitraglia;erba;fisico;25;100;Chi la usa spara da due a cinque raffiche di semi contro il bersaglio in successione.
176;aeroassalto;volante;fisico;60;100;Chi la usa attacca il nemico a grande velocità. Questa mossa è infallibile.
177;gelolancia;ghiaccio;fisico;25;100;Chi la usa spara ghiaccioli affilati contro il nemico da due a cinque volte di fila.
178;dragartigli;drago;fisico;80;100;Chi la usa attacca con artigli affilati che graffiano il nemico rapidamente e con grande forza.
179;radicalbero;erba;speciale;150;90;Un groviglio di radici colpisce il nemico. Chi la usa salta il turno successivo.
180;rimbalzo;volante;fisico;85;85;Chi la usa balza in alto e ricade sul nemico dopo un turno. Può anche paralizzare.
181;colpodifango;terra;speciale;55;95;Chi la usa attacca lanciando fango sul nemico. Riduce anche la Velocità.
182;velenocoda;veleno;fisico;50;100;Chi la usa colpisce con la coda e può avvelenare il nemico. Probabile brutto colpo.
183;supplica;normale;fisico;60;100;Chi la usa attacca il bersaglio sorridendo e gli ruba lo strumento che tiene.
184;locomovolt;elettro;fisico;120;100;Chi la usa si carica di elettricità e poi attacca. Può paralizzare il nemico. Il contraccolpo causa seri danni.
185;fogliamagica;erba;speciale;60;100;Chi la usa sparpaglia strane foglie che inseguono il bersaglio. Questa mossa è infallibile.
186;fendifoglia;erba;fisico;90;100;Colpisce il nemico usando una foglia affilata come una spada. Probabile brutto colpo.
187;cadutamassi;roccia;fisico;25;90;Colpisce il nemico con dei massi pesanti lanciati in rapida successione. Il numero di massi varia da due a cinque.
188;ondashock;elettro;speciale;60;100;Chi la usa colpisce il nemico con una scossa di elettricità. È impossibile eludere questa mossa.
189;idropulsar;acqua;speciale;60;100;Il nemico viene colpito da un getto d'acqua potentissimo che può anche confonderlo.
190;obbliderio;acciaio;speciale;140;100;Intensa luce solare che colpisce il nemico dopo due turni dall'uso della mossa.
191;psicoslancio;psico;speciale;140;90;Chi la usa sferra un potente attacco, ma il contraccolpo riduce di molto il suo Attacco Speciale.
192;svegliopacca;lotta;fisico;70;100;Un attacco che infligge doppi danni se il nemico è Addormentato. Inoltre, lo sveglierà dal sonno.
193;martelpugno;lotta;fisico;100;90;Chi la usa colpisce il nemico con il suo pugno forte e pesante, ma perde Velocità.
194;acquadisale;acqua;speciale;65;100;Se i PS del nemico sono scesi a metà o meno, questa mossa colpirà con il doppio della potenza.
195;fintoattacco;normale;fisico;30;100;Un attacco che colpisce un nemico che ha usato Protezione od Individua. Ne rimuoverà inoltre gli effetti.
196;spennata;volante;fisico;60;100;Chi la usa becca il bersaglio. Inoltre, se questi tiene una Bacca, gliela ruba e ne sfrutta gli effetti.
197;retromarcia;coleottero;fisico;70;100;Dopo aver selezionato questo attacco, chi la usa colpisce il nemico per poi essere sostituito con un altro Pokémon della squadra.
198;zuffa;lotta;fisico;120;100;Chi la usa attacca abbassando la guardia. La propria Difesa e la Difesa Speciale si riducono.
199;rivincita;buio;fisico;50;100;Chi la usa accumula forza, poi attacca. La potenza raddoppia se agisce dopo il Pokémon nemico.
200;garanzia;buio;fisico;60;100;Se il nemico ha già subito dei danni nello stesso turno, la potenza di questa mossa raddoppia.
201;ultimascelta;normale;fisico;140;100;Per usare questa mossa, bisogna prima avvalersi in lotta di tutte le altre mosse conosciute.
202;sbigoattacco;buio;fisico;70;100;Chi la usa può attaccare per primo. Fallisce se il nemico non sta preparando un attacco.
203;fuococarica;fuoco;fisico;120;100;Chi la usa si ricopre di fuoco e carica il bersaglio, ma subisce il contraccolpo. Può anche scottare.
204;palmoforza;lotta;fisico;60;100;Chi la usa attacca con un'onda d'urto che può anche paralizzare il bersaglio.
205;forzasfera;lotta;speciale;80;100;Chi la usa rilascia una forza eterea dal profondo del corpo. La mossa è infallibile.
206;velenpuntura;veleno;fisico;80;100;Il nemico viene colpito con un tentacolo od un braccio intriso di veleno. Può anche avvelenarlo.
207;neropulsar;buio;speciale;80;100;Chi la usa emana un'aura impregnata di oscuri pensieri. Può anche far tentennare il Pokémon colpito.
208;nottesferza;buio;fisico;70;100;Chi la usa colpisce il nemico appena si presenta l'occasione. Probabile brutto colpo.
209;idrondata;acqua;fisico;90;90;Chi la usa attacca agitando la coda come se fosse una violenta ondata in una tempesta furiosa.
210;semebomba;erba;fisico;80;100;Chi la usa emette una raffica di semi dal guscio duro che colpiscono il bersaglio dall'alto.
211;eterelama;volante;speciale;75;95;Chi la usa attacca con un vento tagliente che squarcia il cielo. Può anche far tentennare il Pokémon colpito.
212;forbice x;coleottero;fisico;80;100;Chi la usa colpisce il nemico usando le sue falci o artigli come se fossero un paio di forbici.
213;ronzio;coleottero;speciale;90;100;Chi la usa muove le ali per creare un suono che danneggia il nemico. Può anche ridurne la Difesa Speciale.
214;dragopulsar;drago;speciale;85;100;Chi la usa attacca un'onda d'urto generata spalancando la bocca.
215;dragofuria;drago;fisico;100;75;Chi la usa attacca con fare minaccioso e in questo modo può anche far tentennare il nemico.
216;gemmoforza;roccia;speciale;80;100;Chi la usa attacca con un raggio di luce che brilla come se fosse fatto di pietre preziose.
217;assorbipugno;lotta;fisico;75;100;Pugno che assorbe energia. Fa recuperare una quantità di PS pari alla metà del danno inferto.
218;vuotonda;lotta;speciale;40;100;Chi la usa rotea i pugni per lanciare un'onda di vuoto assoluto verso il nemico. Attacca per primo.
219;focalcolpo;lotta;speciale;120;70;Chi la usa incrementa la sua concentrazione mentale per scatenare il suo potere. Può ridurre la Difesa Speciale del nemico.
220;energipalla;erba;speciale;90;100;Chi la usa attinge energia dalla natura e la scaglia contro il bersaglio. Può anche ridurne la Difesa Speciale.
221;baldeali;volante;fisico;120;100;Chi la usa ripiega le ali e carica da bassa quota. Tuttavia, subisce considerevoli danni.
222;geoforza;terra;speciale;90;100;Dal terreno sotto il nemico si sprigiona una forza devastante. Può anche ridurne la Difesa Speciale.
223;gigaimpatto;normale;fisico;150;90;Chi la usa carica il nemico usando tutta la sua forza, ma al turno successivo deve riposare.
224;pugnoscarica;acciaio;fisico;40;100;Chi la usa attacca con una scarica di pugni veloci come proiettili. Con questa mossa si colpisce per primi.
225;slavina;ghiaccio;fisico;60;100;Un attacco che infligge doppi danni se l'utilizzatore ha subito un attacco nello stesso turno.
226;geloscheggia;ghiaccio;fisico;40;100;Chi la usa crea dei pezzi di ghiaccio e li lancia. Con questa mossa si colpisce per primi.
227;ombrartigli;spettro;fisico;70;100;Chi la usa attacca con artigli d'ombra che colpiscono con gran forza. Probabile brutto colpo.
228;fulmindenti;elettro;fisico;65;95;Chi la usa morde con denti elettrificati che possono anche paralizzare o far tentennare il nemico.
229;gelodenti;ghiaccio;fisico;65;95;Chi la usa morde il nemico con denti di ghiaccio. Può causare congelamento e tentennamento.
230;rogodenti;fuoco;fisico;65;95;Chi la usa morde il nemico con denti infuocati. Può causare scottatura e tentennamento.
231;furtivombra;spettro;fisico;40;100;Chi la usa estende la sua ombra e attacca il nemico alle spalle. Con questa mossa si colpisce per primi.
232;pantanobomba;terra;speciale;65;85;Chi la usa lancia dure palle di fango sul nemico. Può anche ridurne la Precisione.
233;psicotaglio;psico;fisico;70;100;Chi la usa colpisce il nemico con lame fatte di forza psichica. Probabile brutto colpo.
234;cozzata zen;psico;fisico;80;90;Chi la usa concentra la forza nella testa e si lancia contro il nemico. Può anche farlo tentennare.
235;cristalcolpo;acciaio;speciale;65;85;Chi la usa colpisce il nemico lanciando fasci d'energia dal suo corpo. Può ridurne la precisione.
236;cannonflash;acciaio;speciale;80;100;Chi la usa attacca raccogliendo e rilasciando energia luminosa. Può ridurre la Difesa Speciale del nemico.
237;scalaroccia;normale;fisico;90;85;Chi la usa carica con impeto incredibile. Il colpo può confondere il nemico.
238;dragobolide;drago;speciale;130;90;Attacca con meteore che cadono dal cielo. Il contraccolpo fa calare di molto l'Attacco Speciale di chi la usa.
239;scarica;elettro;speciale;80;100;Chi la usa colpisce i Pokémon che ha intorno con un bagliore elettrico. Può anche causare paralisi.
240;lavasbuffo;fuoco;speciale;80;100;Chi la usa lancia fiamme scarlatte sugli altri Pokémon in campo. Può anche scottare.
241;verdebufera;erba;speciale;130;90;Si forma una tempesta di foglie affilate. Il contraccolpo riduce di molto l'Attacco Speciale di chi la usa.
242;vigorcolpo;erba;fisico;120;85;Chi la usa agita violentemente liane o tentacoli per sferzare il bersaglio.
