id;nome;tipo;categoria;potenza;precisione;descrizione
92;sfuriate;normale;fisico;18;80;Colpisce il nemico con artigli o falci affilate in rapida successione.
93;ossomerang;terra;fisico;50;90;Chi la usa lancia l'osso che tiene. L'osso colpisce due volte e ritorna come un vero e proprio boomerang.
94;frana;roccia;fisico;75;90;I nemici vengono colpiti da grandi massi.
95;iperzanna;normale;fisico;80;90;Il Pokémon morde il nemico con zanne taglienti.
96;tripletta;normale;speciale;80;100;Colpisce il nemico con tre sfere simultanee di energia.
97;lacerazione;normale;fisico;70;100;Attacca il nemico con artigli, falci o altro.
98;triplocalcio;lotta;fisico;10;90;Chi la usa esegue fino a tre calci consecutivi la cui potenza aumenta ad ogni colpo.
99;furto;buio;fisico;60;100;Il Pokémon attacca furtivo come un ladro.
100;ruotafuoco;fuoco;fisico;60;100;Il Pokémon si avvolge nel fuoco e carica il nemico.
101;russare;normale;speciale;50;100;Genera del chiasso assordante russando.
102;aerocolpo;volante;speciale;100;95;Colpisce il nemico con un vortice d'aria per danneggiarlo.
103;polneve;ghiaccio;speciale;40;100;Attacca il nemico con una raffica di neve farinosa.
104;pugnorapido;lotta;fisico;40;100;Chi la usa tira un pugno a velocità impressionante.
105;finta;buio;fisico;60;100;Chi la usa si avvicina al nemico facendo finta di niente, per poi scagliare un pugno a tradimento.
106;fangobomba;veleno;speciale;90;100;Chi la usa attacca lanciando fango sul bersaglio.
107;fangosberla;terra;speciale;20;100;Chi la usa butta fango in faccia al nemico per arrecargli danni.
108;octazooka;acqua;speciale;65;85;Chi la usa spruzza del'inchiostro in faccia al nemico.
109;falcecannone;elettro;speciale;120;50;Chi la usa provoca un'esplosione elettrica che infligge danni.
110;ventogelato;ghiaccio;speciale;55;95;Chi la usa attacca i nemici con una folata di aria gelida.
111;ossoraffica;terra;fisico;25;90;Chi la usa colpisce il nemico con un osso duro.
112;oltraggio;drago;fisico;120;100;Chi la usa sfoga la sua ira e attacca il nemico violentemente.
113;gigassorbimento;erba;speciale;75;100;Mossa che assorbe tanta energia vitale dall'avversario.
114;rotolamento;roccia;fisico;30;90;Chi la usa colpisce il nemico rotolando.
115;falsofinale;normale;fisico;40;100;Chi la usa trattiene il colpo per non esagerare.
116;scintilla;elettro;fisico;65;100;Colpisce il nemico con una carica elettrica.
117;tagliofuria;coleottero;fisico;40;95;Colpisce il nemico con falci o artigli.
118;alacciaio;acciaio;fisico;70;90;Colpisce il nemico con ali d'acciaio.
119;magifuoco;fuoco;fisico;100;95;Colpisce il nemico con un fuoco mistico di enorme intensità.
120;dinamipugno;lotta;fisico;100;50;Colpisce il nemico con un pugno davvero forte.
121;megacorno;coleottero;fisico;120;85;Chi la usa utilizza il suo corno per montare con grande forza il nemico.
122;dragospiro;drago;speciale;60;100;Investe il nemico con una raffica potentissima che arreca danni.
123;inseguimento;buio;fisico;40;100;Una mossa d'attacco che infligge un danno in inseguimento.
124;rapigiro;normale;fisico;50;100;Un leggiadro attacco roteante.
125;codacciaio;acciaio;fisico;100;75;Il nemico viene colpito da una robusta coda d'acciaio.
126;ferrartigli;acciaio;fisico;50;95;Colpisce il nemico con artigli d'acciaio.
127;vitaltiro;lotta;fisico;70;100;Un colpo senza pari.
128;introforza;normale;speciale;60;100;Mossa singolare e mistica.
129;incrocolpo;lotta;fisico;100;80;Investe il nemico con un colpo sferrato con entrambe le braccia incrociate.
130;tornado;drago;speciale;40;100;Un potente tornado si abbatte sul nemico.
131;sgranocchio;buio;fisico;80;100;Il nemico viene morso con denti affilati.
132;extrarapido;normale;fisico;80;100;Chi la usa carica il nemico a velocità impressionante.
133;forzantica;roccia;speciale;60;100;Colpisce il nemico con una forza primordiale.
134;palla ombra;spettro;speciale;80;100;Lancia sul nemico una sfera nera.
135;divinazione;psico;speciale;120;100;Il nemico viene attaccato con energia psichica.
136;spaccaroccia;lotta;fisico;40;100;Il nemico viene colpito da un pugno in grado di frantumare anche la roccia.
137;mulinello;acqua;speciale;35;85;Intrappola il nemico in un turbine d'acqua.
138;bruciapelo;normale;fisico;40;100;Mossa che prende alla sprovvista.
139;baraonda;normale;speciale;90;100;Chi la usa attacca con un frastuono terribile.
140;ondacalda;fuoco;speciale;95;90;Chi la usa investe i nemici con una folata di vento caldo.
141;facciata;normale;fisico;70;100;Mossa d'attacco che rilascia la propria energia.
142;centripugno;lotta;fisico;150;100;Chi la usa prende la mira prima di sferrare un pugno.
143;maniereforti;normale;fisico;70;100;Infligge un danno poderoso.
144;troppoforte;lotta;fisico;120;100;Chi la usa attacca il nemico con grande forza.
145;vendetta;lotta;fisico;60;100;Mossa d'attacco che infligge un danno vendicativo.
146;breccia;lotta;fisico;75;100;Colpisce il nemico con una mano capace di creare breccie.
147;privazione;buio;fisico;65;100;Attacco che priva l'avversario della sua energia.
148;forzasegreta;normale;fisico;70;100;Attacco che sfrutta l'energia mistica del campo di battaglia.
149;sub;acqua;fisico;80;100;Chi la usa si tuffa in acqua per emergere e attaccare.
150;sberletese;lotta;fisico;15;100;Raffica di ceffoni.
151;abbagliante;psico;speciale;70;100;Chi la usa scatena un'esplosione abbagliante.
152;foschisfera;psico;speciale;70;100;Una sfera coperta di nebbia danneggia il nemico.
153;calciardente;fuoco;fisico;85;90;Chi la usa tira un calcio ardente.
154;palla gelo;ghiaccio;fisico;30;90;Chi la usa attacca il nemico con sfere ghiacciate.
155;pugnospine;erba;fisico;60;100;Chi la usa attacca colpendo il bersaglio con i suoi arti pieni di spine.
156;granvoce;normale;speciale;90;100;Chi la usa lancia un urlo straziante che danneggia i nemici.
157;velenodenti;veleno;fisico;50;100;Chi la usa morde il nemico con denti avvelenati.
158;tritartigli;normale;fisico;75;95;Colpisce il nemico con artigli robusti e affilati.
159;incendio;fuoco;speciale;150;90;Potente esplosione di fuoco che danneggia il nemico.
160;idrocannone;acqua;speciale;150;90;Colpisce il nemico con un potente getto d'acqua.
161;meteorpugno;acciaio;fisico;90;90;Colpisce il nemico con un pugno veloce come una meteora.
162;sgomento;spettro;fisico;30;100;Chi la usa attacca il bersaglio emettendo un verso terrificante.
163;palla clima;normale;speciale;50;100;Mossa d'attacco che sfrutta le mistiche energie delle condizioni atmosferiche.
164;aerasoio;volante;speciale;60;95;Chi la usa provoca un vento tagliente che sferza i nemici.
165;vampata;fuoco;speciale;130;90;Chi la usa sferra un potente attacco ardente.
166;rocciotomba;roccia;fisico;60;95;Colpisce il nemico con rocce.
167;ventargenteo;coleottero;speciale;60;100;Attacca con un forte vento di polvere di squame.
168;segnoraggio;coleottero;speciale;75;100;Chi la usa attacca con uno strano raggio di luce.
169;pugnodombra;spettro;fisico;60;100;Il nemico riceve un pugno proveniente dalle tenebre.
170;extrasenso;psico;speciale;80;100;Chi la usa attacca con una misteriosa forza invisibile.
171;stramontante;lotta;fisico;85;90;Chi la usa attacca il nemico con un montante che può arrivare fino in cielo.
172;sabbiotomba;terra;fisico;35;85;Chi la usa intrappola il nemico in un turbine di sabbia.
173;fanghiglia;acqua;speciale;90;85;Chi la usa attacca con un getto di fango.
174;semitraglia;erba;fisico;25;100;Chi la usa spara raffiche di semi contro il bersaglio in successione.
175;aeroassalto;volante;fisico;60;100;Chi la usa attacca il nemico a grande velocità.
176;gelolancia;ghiaccio;fisico;25;100;Chi la usa spara ghiaccioli affilati contro il nemico.
177;dragartigli;drago;fisico;80;100;Chi la usa attacca con artigli affilati che graffiano il nemico rapidamente e con grande forza.
178;radicalbero;erba;speciale;150;90;Un groviglio di radici colpisce il nemico.
179;rimbalzo;volante;fisico;85;85;Chi la usa balza in alto e ricade sul nemico.
180;colpodifango;terra;speciale;55;95;Chi la usa attacca lanciando fango sul nemico.
181;velenocoda;veleno;fisico;50;100;Chi la usa colpisce con la coda avvelenata.
182;supplica;normale;fisico;60;100;Chi la usa attacca il bersaglio sorridendo ingannevolmente.
183;locomovolt;elettro;fisico;120;100;Chi la usa si carica di elettricità e poi attacca.
184;fogliamagica;erba;speciale;60;100;Chi la usa sparpaglia strane foglie che inseguono il bersaglio.
185;fendifoglia;erba;fisico;90;100;Colpisce il nemico usando una foglia affilata come una spada.
186;cadutamassi;roccia;fisico;25;90;Colpisce il nemico con dei massi pesanti lanciati in rapida successione.
187;ondashock;elettro;speciale;60;100;Chi la usa colpisce il nemico con una scossa di elettricità.
188;idropulsar;acqua;speciale;60;100;Il nemico viene colpito da un getto d'acqua potentissimo.
189;obbliderio;acciaio;speciale;140;100;Intensa luce solare che colpisce il nemico.
190;psicoslancio;psico;speciale;140;90;Chi la usa sferra un potente attacco psichico.
191;svegliopacca;lotta;fisico;70;100;Una potente pacca sulla schiena.
192;martelpugno;lotta;fisico;100;90;Chi la usa colpisce il nemico con il suo pugno forte e pesante.
193;acquadisale;acqua;speciale;65;100;Spruzza acqua salata al nemico.
194;fintoattacco;normale;fisico;30;100;Un attacco che colpisce alla sprovvista.
195;spennata;volante;fisico;60;100;Chi la usa becca il bersaglio.
196;retromarcia;coleottero;fisico;70;100;Un attacco fulmineo impossibile da contrattaccare.
197;zuffa;lotta;fisico;120;100;Chi la usa attacca abbassando la guardia.
198;rivincita;buio;fisico;50;100;Chi la usa accumula forza e poi attacca.
199;garanzia;buio;fisico;60;100;Una forte pacca sul nemico.
200;ultimascelta;normale;fisico;140;100;Un vero e proprio asso nella manica.
201;sbigoattacco;buio;fisico;70;100;Chi la usa attacca alla sprovvista in modo violento.
202;fuococarica;fuoco;fisico;120;100;Chi la usa si ricopre di fuoco e carica il bersaglio.
203;palmoforza;lotta;fisico;60;100;Chi la usa attacca con un'onda d'urto il bersaglio.
204;forzasfera;lotta;speciale;80;100;Chi la usa rilascia una forza eterea dal profondo del corpo.
205;velenpuntura;veleno;fisico;80;100;Il nemico viene colpito con un tentacolo od un braccio intriso di veleno.
206;neropulsar;buio;speciale;80;100;Chi la usa emana un'aura impregnata di oscuri pensieri.
207;nottesferza;buio;fisico;70;100;Chi la usa colpisce il nemico appena si presenta l'occasione.
208;idrondata;acqua;fisico;90;90;Chi la usa attacca agitando la coda come se fosse una violenta ondata in una tempesta furiosa.
209;semebomba;erba;fisico;80;100;Chi la usa emette una raffica di semi dal guscio duro che colpiscono il bersaglio dall'alto.
210;eterelama;volante;speciale;75;95;Chi la usa attacca con un vento tagliente che squarcia il cielo.
211;forbice x;coleottero;fisico;80;100;Chi la usa colpisce il nemico usando le sue falci o artigli come se fossero un paio di forbici.
212;ronzio;coleottero;speciale;90;100;Chi la usa muove le ali per creare un suono che danneggia il nemico.
213;dragopulsar;drago;speciale;85;100;Chi la usa attacca un'onda d'urto generata spalancando la bocca.
214;dragofuria;drago;fisico;100;75;Chi la usa attacca con fare minaccioso.
215;gemmoforza;roccia;speciale;80;100;Chi la usa attacca con un raggio di luce che brilla come se fosse fatto di pietre preziose.
216;assorbipugno;lotta;fisico;75;100;Pugno che assorbe l'energia vitale dell'avversario.
217;vuotonda;lotta;speciale;40;100;Chi la usa rotea i pugni per lanciare un'onda di vuoto assoluto verso il nemico.
218;focalcolpo;lotta;speciale;120;70;Chi la usa incrementa la sua concentrazione mentale per scatenare il suo potere.
219;energipalla;erba;speciale;90;100;Chi la usa attinge energia dalla natura e la scaglia contro il bersaglio.
220;baldeali;volante;fisico;120;100;Chi la usa ripiega le ali e carica da bassa quota.
221;geoforza;terra;speciale;90;100;Dal terreno sotto il nemico si sprigiona una forza devastante.
222;gigaimpatto;normale;fisico;150;90;Chi la usa carica il nemico usando tutta la sua forza.
223;pugnoscarica;acciaio;fisico;40;100;Chi la usa attacca con una scarica di pugni veloci come proiettili.
224;slavina;ghiaccio;fisico;60;100;Un attacco che infligge una frana nevosa sull'avversario.
225;geloscheggia;ghiaccio;fisico;40;100;Chi la usa crea dei pezzi di ghiaccio e li lancia.
226;ombrartigli;spettro;fisico;70;100;Chi la usa attacca con artigli d'ombra che colpiscono con gran forza.
227;fulmindenti;elettro;fisico;65;95;Chi la usa morde con denti elettrificati.
228;gelodenti;ghiaccio;fisico;65;95;Chi la usa morde il nemico con denti di ghiaccio.
229;rogodenti;fuoco;fisico;65;95;Chi la usa morde il nemico con denti infuocati.
230;furtivombra;spettro;fisico;40;100;Chi la usa estende la sua ombra e attacca il nemico alle spalle.
231;pantanobomba;terra;speciale;65;85;Chi la usa lancia dure palle di fango sul nemico.
232;psicotaglio;psico;fisico;70;100;Chi la usa colpisce il nemico con lame fatte di forza psichica.
233;cozzata zen;psico;fisico;80;90;Chi la usa concentra la forza nella testa e si lancia contro il nemico.
234;cristalcolpo;acciaio;speciale;65;85;Chi la usa colpisce il nemico lanciando fasci d'energia dal suo corpo.
235;cannonflash;acciaio;speciale;80;100;Chi la usa attacca raccogliendo e rilasciando energia luminosa.
236;scalaroccia;normale;fisico;90;85;Chi la usa carica con impeto incredibile.
237;dragobolide;drago;speciale;130;90;Attacca con meteore che cadono dal cielo.
238;scarica;elettro;speciale;80;100;Chi la usa colpisce i Pokémon che ha intorno con un bagliore elettrico.
239;lavasbuffo;fuoco;speciale;80;100;Chi la usa lancia fiamme scarlatte sugli altri Pokémon in campo.
240;verdebufera;erba;speciale;130;90;Si forma una tempesta di foglie affilate.
241;vigorcolpo;erba;fisico;120;85;Chi la usa agita violentemente liane o tentacoli per sferzare il bersaglio.
242;devastomasso;roccia;fisico;150;90;Chi la usa attacca il nemico con un enorme masso.
243;velenocroce;veleno;fisico;70;100;Attacco con zanne avvelenate.
244;sporcolancio;veleno;fisico;120;80;Chi la usa attacca il nemico con rifiuti sudici.
245;metaltestata;acciaio;fisico;80;100;Chi la usa colpisce il nemico con la sua testa dura come l'acciaio.
246;bombagnete;acciaio;fisico;60;100;Chi la usa lancia bombe d'acciaio che si attaccano al nemico.
247;pietrataglio;roccia;fisico;100;80;Chi la usa colpisce il nemico dal basso con pietre affilate.
248;schiamazzo;volante;speciale;65;100;Chi la usa attacca creando un'onda sonora con le parole imparate.
249;giudizio;normale;speciale;100;100;Chi la usa rilascia numerosi colpi di luce divina.
250;coleomorso;coleottero;fisico;60;100;Chi la usa morde il nemico con le sue fauci.
251;raggioscossa;elettro;speciale;50;90;Chi la usa lancia un fascio di elettricità molto intensa.
252;mazzuolegno;erba;fisico;120;100;Chi la usa si lancia con tutto il corpo contro il bersaglio.
253;acquagetto;acqua;fisico;40;100;Chi la usa colpisce a una tale velocità da rendersi quasi invisibile.
254;comandourto;coleottero;fisico;90;100;Chi la usa raduna i suoi sgherri per colpire il nemico.
255;zuccata;roccia;fisico;150;80;Chi la usa attacca con tutta la potenza di cui dispone.
256;doppiosmash;normale;fisico;35;90;Chi la usa colpisce il nemico con la coda due volte di fila.
257;fragortempo;drago;speciale;150;90;Chi la usa colpisce il nemico con una forza capace di alterare il tempo stesso.
258;fendispazio;drago;speciale;100;95;Chi la usa lacera il nemico e lo spazio stesso che lo circonda.
259;magmaclisma;fuoco;speciale;100;75;Intrappola il nemico in un turbine di fuoco.
260;infuriaseme;erba;speciale;120;85;Chi la usa genera un'onda d'urto dal suo corpo.
261;funestovento;spettro;speciale;60;100;Chi la usa crea una raffica di vento ripugnante.
262;oscurotuffo;spettro;fisico;120;100;Chi la usa sparisce e poi colpisce il nemico all'improvviso.
263;psicoshock;psico;speciale;80;100;Chi la usa attacca il bersaglio facendo materializzare un misterioso raggio psichico.
264;velenoshock;veleno;speciale;65;100;Lancia uno speciale liquido tossico sul bersaglio.
265;abbattimento;roccia;fisico;50;100;Chi la usa lancia una pietra o un proiettile.
266;tempestretta;lotta;fisico;60;100;Chi la usa sferra un colpo micidiale al bersaglio, stritolandolo.
267;pirolancio;fuoco;speciale;70;100;Chi la usa emana una fiammata che colpisce il bersaglio.
268;fangonda;veleno;speciale;95;100;Lancia un'onda di fango che attacca tutti i Pokémon nelle vicinanze.
269;sincrumore;psico;speciale;120;100;Chi la usa infligge danni a tutti usando misteriose onde elettromagnetiche.
270;nitrocarica;fuoco;fisico;50;100;Chi la usa si copre di fuoco e attacca il bersaglio.
271;calciobasso;lotta;fisico;65;100;Chi la usa colpisce con un attacco fulmineo la parte inferiore del corpo del bersaglio.
272;acidobomba;veleno;speciale;40;100;Chi la usa attacca il bersaglio con un acido altamente corrosivo.
273;ripicca;buio;fisico;95;100;Chi la usa sfrutta la forza del bersaglio a suo vantaggio.
274;coro;normale;speciale;60;100;Attacca il bersaglio con una melodia.
275;echeggiavoce;normale;speciale;40;100;Attacca il bersaglio con la propria voce echeggiante.
276;insidia;normale;fisico;70;100;Chi la usa attacca non appena il bersaglio abbassa la guardia.
277;pulifumo;veleno;speciale;50;100;Attacca il bersaglio lanciandogli contro una nuvola di fumo speciale.
278;veicolaforza;psico;speciale;20;100;Attacca il bersaglio con l'energia interiore.
279;idrovampata;acqua;speciale;80;100;Chi la usa attacca il bersaglio con un getto d'acqua bollente.
280;sciagura;spettro;speciale;65;100;Attacco che causa un'enorme sciagura.
281;cadutalibera;volante;fisico;60;100;Porta il bersaglio in cielo per poi scagliarlo a terra.
282;ribaltiro;lotta;fisico;60;90;Il bersaglio è scaraventato via.
283;bruciatutto;fuoco;speciale;60;100;Attacca il nemico con una fiammata.
284;acrobazia;volante;fisico;55;100;Attacca rapidamente il bersaglio.
285;nemesi;normale;fisico;70;100;Attacco vendicativo.
286;marchiatura;fuoco;speciale;100;50;Il bersaglio viene avvolto da intense fiammate.
287;acquapatto;acqua;speciale;80;100;Attacca il nemico con una colonna d'acqua.
288;fiammapatto;fuoco;speciale;80;100;Attacca il nemico con una colonna di fuoco.
289;erbapatto;erba;speciale;80;100;Attacca il bersaglio con una colonna d'erba.
290;invertivolt;elettro;speciale;70;100;Chi usa questa mossa scarica energia invertita.
291;entomoblocco;coleottero;speciale;50;100;Colpisce i nemici opponendo resistenza.
292;battiterra;terra;fisico;60;100;Chi la usa calpesta il terreno e scatena un terremoto che danneggia tutti i Pokémon nei paraggi.
293;alitogelido;ghiaccio;speciale;60;90;Chi la usa attacca il bersaglio con un soffio d'aria gelida.
294;codadrago;drago;fisico;60;90;Chi la usa fa volar via il bersaglio.
295;elettrotela;elettro;speciale;55;95;Chi la usa attacca i nemici catturandoli con una ragnatela elettrica.
296;sprizzalampo;elettro;fisico;90;100;Chi la usa si carica di elettricità per poi scagliarsi sul bersaglio.
297;giravvita;terra;fisico;80;95;Chi la usa si scaglia sul bersaglio ruotando su se stesso come un trapano perforante.
298;doppiocolpo;drago;fisico;40;90;Chi la usa attacca due volte il bersaglio con dei colpi estremamente forti.
299;cuorestampo;psico;fisico;60;100;Chi la usa distrae il nemico con un faccino innocente per poi sferrargli un colpo devastante.
300;legnicorno;erba;fisico;75;100;Chi la usa infilza il bersaglio con le corna legnose.
301;spadasolenne;lotta;fisico;90;100;Chi la usa taglia il nemico con una spada magica.
302;conchilama;acqua;fisico;75;95;Chi la usa colpisce il bersaglio con il suo guscio affilato.
303;vorticerba;erba;speciale;65;90;Chi la usa avvolge e attacca il bersaglio con foglie affilate.
304;rulloduro;coleottero;fisico;65;100;Chi la usa ruota su se stesso ad alta velocità e schiaccia il bersaglio.
305;urtoscuro;buio;speciale;85;95;Chi la usa attacca il bersaglio con un'onda d'urto oscura.
306;psicobotta;psico;speciale;100;100;Chi la usa attacca il bersaglio facendo materializzare un misterioso raggio psichico.
307;spazzasberla;normale;fisico;25;85;Chi la usa colpisce il bersaglio con la sua coda dura.
308;tifone;volante;speciale;110;70;Chi la usa attacca il bersaglio avvolgendolo con un vento fortissimo.
309;ricciolata;normale;fisico;120;100;Chi la usa carica il bersaglio con la sua testa in stile afro.
310;ingracolpo;acciaio;fisico;50;85;Chi la usa colpisce il bersaglio lanciandogli contro dei dischi d'acciaio.
311;sparafuoco;fuoco;speciale;100;100;Chi la usa lancia fiamme scarlatte sui Pokémon intorno a sé.
312;tecnobotto;normale;speciale;120;100;Chi la usa rilascia un colpo di luce contro il bersaglio.
313;cantoantico;normale;speciale;75;100;Chi la usa attacca i nemici intonando un'antica melodia che colpisce il loro spirito.
314;spadamistica;lotta;speciale;85;100;Chi la usa attacca il bersaglio tagliandolo con una spada mistica.
315;gelamondo;ghiaccio;speciale;65;95;Chi la usa attacca i nemici con una folata d'aria gelida.
